"pais";"valor";"indicador"
"Ukraine";"23,3";"2010|Internet_pc"
"Kuwait";"3100000";"2018|Facebook"
"Iraq";"2,5";"2010|Internet_pc"
"Hong Kong SAR, China";"3408240";"2010|Facebook"
"Ireland";"1597000";"2010|Facebook"
"Kuwait";"99,59999254";"2018|Internet_pc"
"Estonia";"227420";"2010|Facebook"
"Japan";"71000000";"2018|Facebook"
"United States";"71,69";"2010|Internet_pc"
"Switzerland";"83,9";"2010|Internet_pc"
"United States";" 309326085 ";"2010|poblacion"
"Arab Rep. Egypt";" 82761235 ";"2010|poblacion"
"Vietnam";"1019120";"2010|Facebook"
"Rwanda";" 10039338 ";"2010|poblacion"
"Rwanda";" 12301939 ";"2018|poblacion"
"Bahamas, The";"43";"2010|Internet_pc"
"United Arab Emirates";"68";"2010|Internet_pc"
"Mauritius";"58,5961697";"2018|Internet_pc"
"Colombia";"29000000";"2018|Facebook"
"Italy";" 60431283 ";"2018|poblacion"
"France";"77,28";"2010|Internet_pc"
"United Kingdom";" 62766365 ";"2010|poblacion"
"Qatar";" 2781677 ";"2018|poblacion"
"Taiwan";"6745160";"2010|Facebook"
"Jordan";"27,2";"2010|Internet_pc"
"Estonia";"74,1";"2010|Internet_pc"
"Croatia";"1192160";"2010|Facebook"
"Iraq";" 38433600 ";"2018|poblacion"
"Romania";" 19473936 ";"2018|poblacion"
"United Kingdom";"85";"2010|Internet_pc"
"Greece";"72,9520942";"2018|Internet_pc"
"Bahrain";"98,64342901";"2018|Internet_pc"
"Ukraine";"9500000";"2018|Facebook"
"Greece";"44,4";"2010|Internet_pc"
"Slovak Republic";"75,71";"2010|Internet_pc"
"Belgium";"3505920";"2010|Facebook"
"Indonesia";"39,78748305";"2018|Internet_pc"
"Algeria";" 35977455 ";"2010|poblacion"
"Spain";"86,10723553";"2018|Internet_pc"
"Switzerland";"2234380";"2010|Facebook"
"United Kingdom";"44000000";"2018|Facebook"
"Mauritius";"28,33";"2010|Internet_pc"
"Uzbekistan";" 28562400 ";"2010|poblacion"
"Tunisia";"6400000";"2018|Facebook"
"Australia";"9009660";"2010|Facebook"
"Uganda";"2600000";"2018|Facebook"
"Bahrain";"55";"2010|Internet_pc"
"Canada";" 34004889 ";"2010|poblacion"
"Malta";"320000";"2018|Facebook"
"Morocco";"1849740";"2010|Facebook"
"Sweden";" 10183175 ";"2018|poblacion"
"Finland";"88,88996";"2018|Internet_pc"
"Finland";"86,89";"2010|Internet_pc"
"Morocco";"52";"2010|Internet_pc"
"Brazil";" 209469333 ";"2018|poblacion"
"Korea, Rep.";" 49554112 ";"2010|poblacion"
"Slovak Republic";" 5391428 ";"2010|poblacion"
"India";"300000000";"2018|Facebook"
"Bangladesh";" 147575430 ";"2010|poblacion"
"Uzbekistan";"15,9";"2010|Internet_pc"
"India";" 1352617328 ";"2018|poblacion"
"Slovak Republic";"80,66033556";"2018|Internet_pc"
"Vietnam";"30,65";"2010|Internet_pc"
"Uzbekistan";"52,3";"2018|Internet_pc"
"Spain";"23000000";"2018|Facebook"
"Venezuela, RB";"13000000";"2018|Facebook"
"Turkey";"71,04276107";"2018|Internet_pc"
"Mexico";"65,77263448";"2018|Internet_pc"
"Bangladesh";" 161356039 ";"2018|poblacion"
"Egypt, Arab Rep.";"46,92433809";"2018|Internet_pc"
"Sweden";" 9378126 ";"2010|poblacion"
"Spain";" 46576897 ";"2010|poblacion"
"China";" 1337705000 ";"2010|poblacion"
"Tunisia";"64,19081023";"2018|Internet_pc"
"Germany";" 81776930 ";"2010|poblacion"
"Colombia";" 49648685 ";"2018|poblacion"
"China";" 1392730000 ";"2018|poblacion"
"Italy";"16647260";"2010|Facebook"
"South Africa";" 51216964 ";"2010|poblacion"
"United Arab Emirates";" 9630959 ";"2018|poblacion"
"United States";"88";"2018|Internet_pc"
"Qatar";"69";"2010|Internet_pc"
"United Kingdom";" 66488991 ";"2018|poblacion"
"Chile";"13000000";"2018|Facebook"
"Saudi Arabia";" 33699947 ";"2018|poblacion"
"Slovenia";"79,7499766";"2018|Internet_pc"
"Australia";" 22031750 ";"2010|poblacion"
"Mexico";"12978440";"2010|Facebook"
"Turkey";"22552540";"2010|Facebook"
"Uzbekistan";"800000";"2018|Facebook"
"Mexico";" 114092963 ";"2010|poblacion"
"Sri Lanka";"5500000";"2018|Facebook"
"Bahamas, The";"83,4";"2018|Internet_pc"
"Morocco";"64,80386519";"2018|Internet_pc"
"Thailand";"56,81748093";"2018|Internet_pc"
"Venezuela, RB";"6686300";"2010|Facebook"
"South Africa";" 57779622 ";"2018|poblacion"
"Saudi Arabia";"41";"2010|Internet_pc"
"Ethiopia";"18,6";"2018|Internet_pc"
"Sweden";"6300000";"2018|Facebook"
"Serbia";"40,9";"2010|Internet_pc"
"Rwanda";"490000";"2018|Facebook"
"Saudi Arabia";"93,31000185";"2018|Internet_pc"
"Belgium";"6500000";"2018|Facebook"
"Ireland";" 4560155 ";"2010|poblacion"
"Germany";"89,73912104";"2018|Internet_pc"
"Indonesia";"10,92";"2010|Internet_pc"
"Estonia";" 1331475 ";"2010|poblacion"
"Japan";"1192220";"2010|Facebook"
"Iceland";"99,01095399";"2018|Internet_pc"
"United Arab Emirates";"1596160";"2010|Facebook"
"Oman";" 3041434 ";"2010|poblacion"
"Bahrain";" 1240860 ";"2010|poblacion"
"Venezuela, RB";" 28439940 ";"2010|poblacion"
"Serbia";"2064220";"2010|Facebook"
"Bangladesh";"854520";"2010|Facebook"
"Portugal";" 10281762 ";"2018|poblacion"
"Argentina";"78";"2018|Internet_pc"
"Greece";"2838700";"2010|Facebook"
"Slovenia";"910000";"2018|Facebook"
"Uganda";" 32428167 ";"2010|poblacion"
"United States";"125881220";"2010|Facebook"
"Iraq";"49,4";"2018|Internet_pc"
"Vietnam";"70,34963558";"2018|Internet_pc"
"Serbia";"73,36070915";"2018|Internet_pc"
"Chile";"77,5";"2018|Internet_pc"
"Lebanon";"3600000";"2018|Facebook"
"Jordan";"86,4";"2018|Internet_pc"
"Bahamas, The";" 354942 ";"2010|poblacion"
"Venezuela, RB";"53,1";"2018|Internet_pc"
"Israel";" 7623600 ";"2010|poblacion"
"Nigeria";"49";"2018|Internet_pc"
"Oman";"80,2";"2018|Internet_pc"
"Norway";"96,49165799";"2018|Internet_pc"
"Thailand";"46000000";"2018|Facebook"
"Kuwait";"518540";"2010|Facebook"
"Ethiopia";"130320";"2010|Facebook"
"Hong Kong SAR, China";"5200000";"2018|Facebook"
"Hungary";" 9768785 ";"2018|poblacion"
"China";"53";"2018|Internet_pc"
"Ukraine";" 45870700 ";"2010|poblacion"
"Arab Rep. Egypt";" 98423595 ";"2018|poblacion"
"Brazil";"4757200";"2010|Facebook"
"Philippines";" 106651922 ";"2018|poblacion"
"Finland";" 5363352 ";"2010|poblacion"
"Netherlands";"90,72";"2010|Internet_pc"
"France";"82,04353422";"2018|Internet_pc"
"Portugal";" 10573100 ";"2010|poblacion"
"Russian";"80,86472186";"2018|Internet_pc"
"Indonesia";" 241834215 ";"2010|poblacion"
"Australia";"15000000";"2018|Facebook"
"Germany";" 82927922 ";"2018|poblacion"
"Estonia";"89,35700777";"2018|Internet_pc"
"Hong Kong SAR, China";"72";"2010|Internet_pc"
"Philippines";"63";"2018|Internet_pc"
"Chile";" 18729160 ";"2018|poblacion"
"Korea, Rep.";"43000000";"2018|Facebook"
"Israel";"3006460";"2010|Facebook"
"Yemen, Rep.";"96700";"2010|Facebook"
"Tunisia";"36,8";"2010|Internet_pc"
"Indonesia";"130000000";"2018|Facebook"
"Slovenia";" 2048583 ";"2010|poblacion"
"Pakistan";" 179424641 ";"2010|poblacion"
"Iceland";"250000";"2018|Facebook"
"Saudi Arabia";"18000000";"2018|Facebook"
"Rep. Yemen";" 23154855 ";"2010|poblacion"
"Belgium";" 10895586 ";"2010|poblacion"
"Slovak Republic";" 5447011 ";"2018|poblacion"
"Venezuela, RB";" 28870195 ";"2018|poblacion"
"Mexico";"31,05";"2010|Internet_pc"
"India";"34";"2018|Internet_pc"
"Croatia";"1800000";"2018|Facebook"
"Kuwait";" 2991884 ";"2010|poblacion"
"Netherlands";" 17231017 ";"2018|poblacion"
"Colombia";"36,5";"2010|Internet_pc"
"Philippines";"14600300";"2010|Facebook"
"Slovak Republic";"1481000";"2010|Facebook"
"Denmark";"3700000";"2018|Facebook"
"Malta";"63";"2010|Internet_pc"
"Ireland";" 4853506 ";"2018|poblacion"
"Jordan";"5300000";"2018|Facebook"
"Libya";" 6197663 ";"2010|poblacion"
"Nigeria";"17000000";"2018|Facebook"
"Malaysia";"22000000";"2018|Facebook"
"Egypt, Arab Rep.";"35000000";"2018|Facebook"
"Mauritius";" 1265303 ";"2018|poblacion"
"Argentina";"10542040";"2010|Facebook"
"Ethiopia";" 87639964 ";"2010|poblacion"
"Uzbekistan";" 32955400 ";"2018|poblacion"
"France";"18942220";"2010|Facebook"
"Turkey";"39,82";"2010|Internet_pc"
"Libya";"14";"2010|Internet_pc"
"Spain";"65,8";"2010|Internet_pc"
"Austria";"87,71046495";"2018|Internet_pc"
"Uzbekistan";"26840";"2010|Facebook"
"Denmark";" 5797446 ";"2018|poblacion"
"Israel";" 8883800 ";"2018|poblacion"
"Austria";" 8847037 ";"2018|poblacion"
"Yemen, Rep.";"2352942";"2018|Facebook"
"Tunisia";"1594700";"2010|Facebook"
"Rep. Yemen";" 28498687 ";"2018|poblacion"
"Bangladesh";"3,7";"2010|Internet_pc"
"Mauritius";"700000";"2018|Facebook"
"Singapore";"88,16563603";"2018|Internet_pc"
"Rwanda";"44340";"2010|Facebook"
"United Arab Emirates";"98,45000178";"2018|Internet_pc"
"Switzerland";" 7824909 ";"2010|poblacion"
"Turkey";" 82319724 ";"2018|poblacion"
"Yemen, Rep.";"26,7";"2018|Internet_pc"
"Malta";"163660";"2010|Facebook"
"Qatar";"2300000";"2018|Facebook"
"South Africa";"16000000";"2018|Facebook"
"Turkey";" 72326988 ";"2010|poblacion"
"United Kingdom";"94,89674176";"2018|Internet_pc"
"Indonesia";" 267663435 ";"2018|poblacion"
"Ireland";"69,85";"2010|Internet_pc"
"Australia";"88";"2018|Internet_pc"
"Belgium";" 11422068 ";"2018|poblacion"
"Spain";"10610080";"2010|Facebook"
"Yemen, Rep.";"12,35";"2010|Internet_pc"
"Taiwan";" 23.580.080,00";"2018|poblacion"
"Poland";"77,54173454";"2018|Internet_pc"
"Brazil";"139000000";"2018|Facebook"
"Morocco";" 36029138 ";"2018|poblacion"
"Romania";"39,93";"2010|Internet_pc"
"Sweden";"3798020";"2010|Facebook"
"Croatia";" 4089400 ";"2018|poblacion"
"Algeria";"19000000";"2018|Facebook"
"Sweden";"92,14167705";"2018|Internet_pc"
"Japan";"78,21";"2010|Internet_pc"
"Nigeria";"11,5";"2010|Internet_pc"
"Norway";" 5314336 ";"2018|poblacion"
"Sri Lanka";" 20261737 ";"2010|poblacion"
"Uganda";"40,5";"2018|Internet_pc"
"Taiwan";"88";"2018|Internet_pc"
"Italy";"74,38718292";"2018|Internet_pc"
"Canada";" 37058856 ";"2018|poblacion"
"Russian";"43";"2010|Internet_pc"
"Malaysia";"7317520";"2010|Facebook"
"Lebanon";" 6848925 ";"2018|poblacion"
"Australia";" 24992369 ";"2018|poblacion"
"Brazil";"40,65";"2010|Internet_pc"
"Thailand";"4216760";"2010|Facebook"
"Libya";" 6678567 ";"2018|poblacion"
"Germany";"82";"2010|Internet_pc"
"Oman";"157440";"2010|Facebook"
"Denmark";" 5547683 ";"2010|poblacion"
"South Africa";"54";"2018|Internet_pc"
"China";"1800000";"2018|Facebook"
"Japan";" 126529100 ";"2018|poblacion"
"Chile";"6944540";"2010|Facebook"
"Hungary";" 10000023 ";"2010|poblacion"
"Bangladesh";"57,2";"2018|Internet_pc"
"Norway";"93,39";"2010|Internet_pc"
"Portugal";"5800000";"2018|Facebook"
"Bahrain";" 1569439 ";"2018|poblacion"
"Bahrain";"1100000";"2018|Facebook"
"Vietnam";" 87967651 ";"2010|poblacion"
"Greece";" 11121341 ";"2010|poblacion"
"Hungary";"65";"2010|Internet_pc"
"Pakistan";" 212215030 ";"2018|poblacion"
"Canada";"80,3";"2010|Internet_pc"
"Slovak Republic";"3200000";"2018|Facebook"
"India";"7,5";"2010|Internet_pc"
"Iraq";"225600";"2010|Facebook"
"France";" 65027507 ";"2010|poblacion"
"Chile";" 17062536 ";"2010|poblacion"
"Pakistan";"35";"2018|Internet_pc"
"Ukraine";" 44622516 ";"2018|poblacion"
"Korea, Rep.";" 51635256 ";"2018|poblacion"
"Mexico";"78000000";"2018|Facebook"
"Lebanon";"962440";"2010|Facebook"
"Germany";"31000000";"2018|Facebook"
"Sri Lanka";"587980";"2010|Facebook"
"Nigeria";" 158503197 ";"2010|poblacion"
"Poland";" 38042794 ";"2010|poblacion"
"Austria";"3700000";"2018|Facebook"
"Mauritius";" 1250400 ";"2010|poblacion"
"Nigeria";" 195874740 ";"2018|poblacion"
"Hungary";"5300000";"2018|Facebook"
"Argentina";"30000000";"2018|Facebook"
"Iraq";"17000000";"2018|Facebook"
"Malta";"81,40313252";"2018|Internet_pc"
"Romania";" 20246871 ";"2010|poblacion"
"Belgium";"88,65506428";"2018|Internet_pc"
"China";"34,3";"2010|Internet_pc"
"Russian Federation";" 144478050 ";"2018|poblacion"
"Iceland";" 318041 ";"2010|poblacion"
"Italy";"30000000";"2018|Facebook"
"Morocco";" 32343389 ";"2010|poblacion"
"Mauritius";"203700";"2010|Facebook"
"Taiwan";"18000000";"2018|Facebook"
"Norway";"3400000";"2018|Facebook"
"Belgium";"75";"2010|Internet_pc"
"Malta";" 483530 ";"2018|poblacion"
"Sri Lanka";" 21670000 ";"2018|poblacion"
"India";"10547240";"2010|Facebook"
"Korea, Rep.";"2473540";"2010|Facebook"
"India";" 1234281170 ";"2010|poblacion"
"Malaysia";"56,3";"2010|Internet_pc"
"Bahamas, The";"139460";"2010|Facebook"
"Estonia";"620000";"2018|Facebook"
"Netherlands";"94,71207372";"2018|Internet_pc"
"Poland";"2772540";"2010|Facebook"
"Switzerland";" 8516543 ";"2018|poblacion"
"Switzerland";"93,7";"2018|Internet_pc"
"Brazil";"66";"2018|Internet_pc"
"Algeria";"928100";"2010|Facebook"
"France";" 66987244 ";"2018|poblacion"
"United States";"240000000";"2018|Facebook"
"Qatar";" 1856327 ";"2010|poblacion"
"Qatar";"396860";"2010|Facebook"
"Colombia";"63,2";"2018|Internet_pc"
"Switzerland";"3700000";"2018|Facebook"
"Nigeria";"1616120";"2010|Facebook"
"Netherlands";"9800000";"2018|Facebook"
"Denmark";"97,64426813";"2018|Internet_pc"
"Singapore";"4300000";"2018|Facebook"
"United Arab Emirates";" 8549988 ";"2010|poblacion"
"Bahamas, The";" 385640 ";"2018|poblacion"
"Ethiopia";"0,75";"2010|Internet_pc"
"Australia";"76";"2010|Internet_pc"
"Ukraine";"93,4";"2018|Internet_pc"
"Austria";"2084840";"2010|Facebook"
"Mauritania";"20,8";"2018|Internet_pc"
"Romania";"8900000";"2018|Facebook"
"Algeria";" 42228429 ";"2018|poblacion"
"United States";" 327167434 ";"2018|poblacion"
"Singapore";" 5076732 ";"2010|poblacion"
"Indonesia";"25912960";"2010|Facebook"
"Bahamas, The";"220000";"2018|Facebook"
"Ireland";"2700000";"2018|Facebook"
"United Arab Emirates";"8700000";"2018|Facebook"
"Malaysia";" 28208035 ";"2010|poblacion"
"Serbia";" 7291436 ";"2010|poblacion"
"Denmark";"2527000";"2010|Facebook"
"Argentina";"45";"2010|Internet_pc"
"Canada";"15497900";"2010|Facebook"
"Libya";"156240";"2010|Facebook"
